threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
0.05,0.2376,0.2354,0.0
0.06,0.2303,0.2273,0.0
0.07,0.2209,0.219,0.0
0.08,0.2136,0.2105,0.0
0.09,0.1994,0.2018,0.0
0.1,0.1941,0.1929,0.0
0.11,0.1871,0.1839,0.0
0.12,0.1811,0.1746,0.0
0.13,0.1738,0.1651,0.0
0.14,0.1677,0.1554,0.0
0.15,0.1574,0.1455,0.0
0.16,0.1536,0.1353,0.0
0.17,0.1475,0.1249,0.0
0.18,0.1421,0.1142,0.0
0.19,0.1361,0.1033,0.0
0.2,0.1309,0.0921,0.0
0.21,0.1259,0.0806,0.0
0.22,0.1209,0.0688,0.0
0.23,0.1117,0.0567,0.0
0.24,0.1081,0.0443,0.0
0.25,0.1059,0.0315,0.0
0.26,0.0994,0.0184,0.0
0.27,0.0954,0.005,0.0
0.28,0.0903,-0.0088,0.0
0.29,0.0838,-0.023,0.0
0.3,0.0753,-0.0376,0.0
0.31,0.0672,-0.0527,0.0
0.32,0.0586,-0.0682,0.0
0.33,0.0468,-0.0841,0.0
0.34,0.0416,-0.1005,0.0
0.35,0.0455,-0.1175,0.0
0.36,0.0408,-0.1349,0.0
0.37,0.0307,-0.1529,0.0
0.38,0.0206,-0.1715,0.0
0.39,0.0181,-0.1907,0.0
0.4,0.0079,-0.2106,0.0
0.41,-0.0024,-0.2311,0.0
0.42,0.0028,-0.2523,0.0
0.43,-0.0013,-0.2743,0.0
0.44,-0.0113,-0.2971,0.0
0.45,-0.0187,-0.3206,0.0
0.46,-0.0289,-0.3451,0.0
0.47,-0.0336,-0.3705,0.0
0.48,-0.0343,-0.3968,0.0
0.49,-0.0342,-0.4242,0.0
0.5,-0.0372,-0.4527,0.0
0.51,-0.0501,-0.4823,0.0
0.52,-0.056,-0.5132,0.0
0.53,-0.0656,-0.5454,0.0
0.54,-0.0714,-0.579,0.0
0.55,-0.077,-0.6141,0.0
0.56,-0.0857,-0.6508,0.0
0.57,-0.0998,-0.6892,0.0
0.58,-0.1084,-0.7294,0.0
0.59,-0.1232,-0.7716,0.0
0.6,-0.1301,-0.8159,0.0
0.61,-0.1261,-0.8624,0.0
0.62,-0.1414,-0.9115,0.0
0.63,-0.1434,-0.9631,0.0
0.64,-0.1532,-1.0176,0.0
0.65,-0.1597,-1.0753,0.0
0.66,-0.1636,-1.1363,0.0
0.67,-0.1664,-1.2011,0.0
0.68,-0.1719,-1.2698,0.0
0.69,-0.1694,-1.3431,0.0
0.7,-0.1655,-1.4212,0.0
0.71,-0.1768,-1.5047,0.0
0.72,-0.1815,-1.5941,0.0
0.73,-0.1771,-1.6902,0.0
0.74,-0.191,-1.7937,0.0
0.75,-0.2095,-1.9054,0.0
0.76,-0.2111,-2.0265,0.0
0.77,-0.2051,-2.158,0.0
0.78,-0.1978,-2.3016,0.0
0.79,-0.1671,-2.4588,0.0
0.8,-0.1723,-2.6318,0.0
