term,odds_ratio,ci_low,ci_high,p_value,significant
TB meningitis: Yes (vs No),12.126,3.63,40.508,0.0001,Yes
Miliary TB: Yes (vs No),6.639,2.089,21.099,0.0013,Yes
Chest X-ray severity: Not Done (vs No lesion),5.215,1.856,14.653,0.0017,Yes
HIV (pre-Dx): Positive (vs Negative),3.453,2.105,5.663,0.0,Yes
Education level: Other (vs Tertiary),3.307,0.662,16.515,0.145,No
TB case category: After failure (vs New),2.712,0.911,8.073,0.0731,No
Chest X-ray severity: Far advanced (vs No lesion),2.22,0.843,5.847,0.1066,No
Baseline sputum smear: Not Done (vs Negative),1.911,0.578,6.319,0.2886,No
Education level: Primary (vs Tertiary),1.845,0.991,3.433,0.0534,No
Residence location: Rural (vs Urban),1.839,0.641,5.271,0.257,No
Case-detection method: Active/Screening (vs Passive),1.747,0.623,4.903,0.2891,No
Education level: None (vs Tertiary),1.663,0.996,2.777,0.0519,No
Chest X-ray severity: Mod. advanced (vs No lesion),1.604,0.911,2.822,0.1014,No
Age (per 10 yr),1.578,1.437,1.733,0.0,Yes
BCG scar: None (vs Present),1.434,0.943,2.181,0.0919,No
Education level: Secondary (vs Tertiary),1.363,0.901,2.061,0.1422,No
Ethnicity: Bumiputera/Other (vs Malay),1.227,0.544,2.767,0.6215,No
Diabetes mellitus: Yes (vs No),1.091,0.76,1.566,0.638,No
Chest X-ray severity: Minimal (vs No lesion),1.018,0.602,1.722,0.9473,No
Dx-to-treatment (days),1.0,0.992,1.007,0.9244,No
Ethnicity: Unknown (vs Malay),0.998,0.631,1.578,0.9918,No
Ethnicity: Indian (vs Malay),0.979,0.597,1.605,0.9327,No
TB case category: Relapse (vs New),0.979,0.577,1.662,0.9383,No
No. of dependents,0.977,0.918,1.04,0.4706,No
TB anatomical site: Pulmonary & Extrapulmonary (vs Pulmonary),0.951,0.414,2.185,0.9049,No
TB case category: After interruption (vs New),0.82,0.451,1.493,0.5171,No
HIV (pre-Dx): Not Done (vs Negative),0.819,0.541,1.239,0.3441,No
Baseline sputum smear: Positive (vs Negative),0.739,0.544,1.004,0.0528,No
Smoking: Yes (vs No),0.655,0.474,0.905,0.0104,Yes
Ethnicity: Chinese (vs Malay),0.573,0.397,0.828,0.003,Yes
TB anatomical site: Extrapulmonary (vs Pulmonary),0.567,0.339,0.947,0.0301,Yes
Income status: Yes (vs No),0.524,0.369,0.743,0.0003,Yes
Sex: Female (vs Male),0.419,0.306,0.574,0.0,Yes
