feature,mean_abs_shap
Age (years),0.6483
Sex = Female,0.276
Income status = Yes,0.1969
Chest X-ray severity = Minimal,0.1526
Income status = No,0.1407
No. of dependents,0.1175
HIV status (pre-diagnosis) = Positive,0.1104
Baseline sputum smear = Positive,0.1082
Education level = Form 6/Dip.,0.1041
Sex = Male,0.1023
Ethnicity = Chinese,0.0932
Smoking = No,0.0732
Chest X-ray severity = No lesion,0.0703
Education level = None,0.059
BCG scar = Present,0.0537
TB case category = Relapse,0.0487
Smoking = Yes,0.0457
BCG scar = None,0.0432
Diagnosis-to-treatment (days),0.0401
Education level = Primary,0.0386
TB anatomical site = Extrapulmonary,0.0354
Chest X-ray severity = Mod. advanced,0.0346
TB anatomical site = Pulmonary,0.0316
Chest X-ray severity = Not Done,0.0303
HIV status (pre-diagnosis) = Not Done,0.0291
TB case category = New,0.0261
TB meningitis = No,0.0242
TB meningitis = Yes,0.0228
Ethnicity = Unknown,0.0219
Ethnicity = Malay,0.0201
Baseline sputum smear = Negative,0.0199
Education level = Upper sec.,0.0181
Miliary TB = Yes,0.0168
Ethnicity = Sabah native,0.0158
HIV status (pre-diagnosis) = Negative,0.0153
Education level = Degree,0.0148
TB anatomical site = Pulmonary & Extrapulmonary,0.0148
Miliary TB = No,0.0146
Ethnicity = Indian,0.0142
Diabetes mellitus = No,0.0095
Citizenship = Citizen,0.0091
Chest X-ray severity = Far advanced,0.008
Education level = Lower sec.,0.0067
TB case category = After interruption,0.0063
Case-detection method = Active,0.006
Citizenship = Non-citizen,0.0056
Residence location = Rural,0.0051
Diabetes mellitus = Yes,0.0051
Ethnicity = Others,0.0039
Case-detection method = Passive,0.0002
Ethnicity = Orang Asli (Pen.),0.0002
TB case category = After failure,0.0
Residence location = Urban,0.0
Ethnicity = Sarawak native,0.0
Baseline sputum smear = Not Done,0.0
Case-detection method = Screening,0.0
Healthcare worker = No,0.0
Healthcare worker = Yes,0.0
Education level = Others,0.0
