variable,category,overall,survived,died,p_value
Age (years),median [IQR],41 [28-58],36 [26-52],52 [40-65],0.0
No. of dependents,median [IQR],0 [0-2],0 [0-3],0 [0-2],0.0013
Diagnosis-to-treatment (days),median [IQR],0 [0-0],0 [0-0],0 [0-0],0.601
Sex,Male,922 (62.4%),621 (57.9%),301 (74.3%),0.0
,Female,556 (37.6%),452 (42.1%),104 (25.7%),
Citizenship,Non-citizen,294 (19.9%),201 (18.7%),93 (23.0%),0.0811
,Citizen,1184 (80.1%),872 (81.3%),312 (77.0%),
Education level,None,288 (19.5%),186 (17.3%),102 (25.2%),0.0
,Primary,95 (6.4%),57 (5.3%),38 (9.4%),
,Lower sec.,67 (4.5%),44 (4.1%),23 (5.7%),
,Upper sec.,708 (47.9%),514 (47.9%),194 (47.9%),
,Form 6/Dip.,231 (15.6%),197 (18.4%),34 (8.4%),
,Degree,80 (5.4%),71 (6.6%),9 (2.2%),
,Others,9 (0.6%),4 (0.4%),5 (1.2%),
Income status,No,1022 (69.1%),686 (63.9%),336 (83.0%),0.0
,Yes,456 (30.9%),387 (36.1%),69 (17.0%),
Ethnicity,Orang Asli (Pen.),2 (0.1%),1 (0.1%),1 (0.2%),0.1118
,Unknown,297 (20.1%),201 (18.7%),96 (23.7%),
,Sabah native,19 (1.3%),13 (1.2%),6 (1.5%),
,Chinese,353 (23.9%),247 (23.0%),106 (26.2%),
,Indian,118 (8.0%),83 (7.7%),35 (8.6%),
,Malay,668 (45.2%),511 (47.6%),157 (38.8%),
,Sarawak native,10 (0.7%),8 (0.7%),2 (0.5%),
,Others,11 (0.7%),9 (0.8%),2 (0.5%),
Residence location,Rural,18 (1.2%),11 (1.0%),7 (1.7%),0.4045
,Urban,1460 (98.8%),1062 (99.0%),398 (98.3%),
Diabetes mellitus,Yes,221 (15.0%),141 (13.1%),80 (19.8%),0.002
,No,1257 (85.0%),932 (86.9%),325 (80.2%),
Smoking,No,1076 (72.8%),778 (72.5%),298 (73.6%),0.7278
,Yes,402 (27.2%),295 (27.5%),107 (26.4%),
HIV status (pre-diagnosis),Positive,89 (6.0%),45 (4.2%),44 (10.9%),0.0
,Negative,1200 (81.2%),888 (82.8%),312 (77.0%),
,Not Done,189 (12.8%),140 (13.0%),49 (12.1%),
BCG scar,None,262 (17.7%),165 (15.4%),97 (24.0%),0.0002
,Present,1216 (82.3%),908 (84.6%),308 (76.0%),
Chest X-ray severity,No lesion,173 (11.7%),138 (12.9%),35 (8.6%),0.0
,Minimal,856 (57.9%),653 (60.9%),203 (50.1%),
,Mod. advanced,390 (26.4%),250 (23.3%),140 (34.6%),
,Far advanced,33 (2.2%),20 (1.9%),13 (3.2%),
,Not Done,26 (1.8%),12 (1.1%),14 (3.5%),
TB anatomical site,Pulmonary & Extrapulmonary,45 (3.0%),27 (2.5%),18 (4.4%),0.0604
,Pulmonary,1213 (82.1%),877 (81.7%),336 (83.0%),
,Extrapulmonary,220 (14.9%),169 (15.8%),51 (12.6%),
TB case category,After failure,20 (1.4%),10 (0.9%),10 (2.5%),0.1051
,After interruption,69 (4.7%),47 (4.4%),22 (5.4%),
,Relapse,92 (6.2%),66 (6.2%),26 (6.4%),
,New,1297 (87.8%),950 (88.5%),347 (85.7%),
Baseline sputum smear,Not Done,18 (1.2%),10 (0.9%),8 (2.0%),0.2385
,Positive,817 (55.3%),591 (55.1%),226 (55.8%),
,Negative,643 (43.5%),472 (44.0%),171 (42.2%),
Case-detection method,Active,16 (1.1%),10 (0.9%),6 (1.5%),0.6178
,Passive,1457 (98.6%),1059 (98.7%),398 (98.3%),
,Screening,5 (0.3%),4 (0.4%),1 (0.2%),
Healthcare worker,No,1451 (98.2%),1047 (97.6%),404 (99.8%),0.0102
,Yes,27 (1.8%),26 (2.4%),1 (0.2%),
TB meningitis,Yes,23 (1.6%),5 (0.5%),18 (4.4%),0.0
,No,1455 (98.4%),1068 (99.5%),387 (95.6%),
Miliary TB,Yes,20 (1.4%),7 (0.7%),13 (3.2%),0.0004
,No,1458 (98.6%),1066 (99.3%),392 (96.8%),
